#Active RPP references from measurements
4034872,,,S000M
PHLTA,14,105,S000M
PRLTA,21,567,S000M
PRLTA,26,115,S000M
PRLTA,26,721,S000M
PRLTA,32,961,S000M
PRLTA,35,1402,S000M
SOPUA,19,624,S000M
PHRVA,D32,802,S000M
PHLTA,122B,103,S043M
PHLTA,122B,476,S043M
PHLTA,134B,469,S043:Desig=1,S043:Desig=2
PHLTA,148B,355,S043WMG
PRLTA,55,1831,S044Z0A
PHRVA,D31,2352,S044Z0A
PHRVA,132,1227,S066CHR,S066MGM
PHRVA,D9,533,S066MNM
PRLTA,32,180,S066TMR
PRLTA,21,1645,S003EDM
JPBAB,3,1620,S003EDM
JPCRB,2,664,S003M,S004MPR,S016M,S016MM,S017D,S017M
PHRVA,A11,473,S003EDM
PRLTA,47,1679,S003MMR
PHLTA,124B,435,S003T,S003TD
PHRVA,D34,97,S003T
PHLTA,25B,376,S008D,S019M
PHRVA,D9,3050,S066MGM
NCLTA,17,553,S066TMR
PRLTA,38,1049,S066TMR
NUPHA,B133,205,S004:Desig=3,S066TMR
PRLTA,45,1066,S008M
PHRVA,D24,2001,S066TMR
PHLTA,114B,76,S066MNM
PHLTA,146B,431,S008D,S008M
NUCIA,14,1266,S004:Desig=2
PRLTA,2,56,S004XI
PRLTA,3,55,S004:Desig=7
SPHJA,10,225,S004:Desig=7
PHRVA,119,1400,S004DEL,S004ETA,S004XI
SPHJA,13,313,S004XI
PHRVA,121,1823,S004:Desig=2,S004:Desig=7
6588204,,,S004DEL
PHLTA,1,16,S004MM
NUCIA,26,261,S004RP3
PHLTA,7,368,S004PL
PHRVA,132,2693,S004DT
PHLTA,8,87,S004PL
PHLTA,9,62,S004PL
PHLTA,11,185,S004XI
6695078,,,S004ETA,S004RHO
PHRVA,156,1405,S004ETB,S004:Desig=2
PHRVA,162,1306,S004PL
PHRVA,156,1475,S004ETA,S004RHO
SJNCA,6,230,S004XI
PHRVA,166,1379,S004DEL,S004ETA,S004RHO
PHRVA,181,1854,S004ETA,S004RHO
NUCIA,63A,423,S004DEL
PRLTA,27,474,S004M
PRLTA,28,1469,S004RF,S004RP3
PHRVA,D5,2145,S004M,S004MPR
PHLTA,47B,491,S004T
PHLTA,46B,281,S004:Desig=3
SPHJA,40,811,S004T
PRLTA,39,1385,S004RE
PRLTA,38,956,S004MPR
